PID,keywords,mods.grants,mods.abstract,fgs.state,dc.title,dc.language,mods.sm_key_words,fgs.lastModifiedDate,mods.sm_collection,mods.language,mods.title,mods.sm_report_number,dc.subject,mods.sm_corporate_creator,rdf.isOpenAccess,mods.origin,dc.description,mods.raw_date,mods.sm_format,mods.sm_oclc_number,rdf.redirectsTo,mods.sm_geographical_coverage,mods.subject_topic,fgs.createdDate,mods.sm_ntl_classification,mods.sm_resource_type,mods.sm_edition,mods.sm_corporate_publisher,DS1.mimetype_txt_en,DS1.label_txt_en,DS1.filesize_tl,DS1.checksum_txt_en,mods.ss_publishyear,fgs.ownerId,rdf.isMemberOf,dc.identifier,mods.sm_creator,fgs.label,rdf.isPeerTo,mods.sm_digital_object_identifier,mods.ss_jobid,DS2.mimetype_txt_en,DS2.label_txt_en,DS2.filesize_tl,DS2.checksum_txt_en,DS2.sourceurl,dc.publisher,dc.format,dc.type,dc.creator,dc.coverage,DS1.sourceurl,mods.orcidId,mods.sm_contributor,dc.contributor,mods.alt_title,mods.note,mods.sm_corporate_contributor,DS_EXCEL.mimetype_txt_en,DS_EXCEL.label_txt_en,DS_EXCEL.filesize_tl,DS_EXCEL.checksum_txt_en,mods.sm_contracting_officer,DS3.mimetype_txt_en,DS3.label_txt_en,DS3.filesize_tl,DS3.checksum_txt_en,DS3.sourceurl,DS4.mimetype_txt_en,DS4.label_txt_en,DS4.filesize_tl,DS4.checksum_txt_en,DS4.sourceurl,mods.sm_alternate_url,mods.table_of_contents,rdf.underCategory,rdf.hasOrder,rdf.isCollection,rdf.categoryOrder,rdf.isFeaturedCollection,mods.sm_rights_statement,mods.related_series,DS_MS_NON_EXCEL.mimetype_txt_en,DS_MS_NON_EXCEL.label_txt_en,DS_MS_NON_EXCEL.filesize_tl,DS_MS_NON_EXCEL.checksum_txt_en,mods.sm_tris_online_accession_number,rdf.hasExternalLink,rdf.hasMoreDocuments,DS5.mimetype_txt_en,DS5.label_txt_en,DS5.filesize_tl,DS5.checksum_txt_en,DS5.sourceurl,DS10.mimetype_txt_en,DS10.label_txt_en,DS10.filesize_tl,DS10.checksum_txt_en,DS10.sourceurl,DS11.mimetype_txt_en,DS11.label_txt_en,DS11.filesize_tl,DS11.checksum_txt_en,DS11.sourceurl,DS12.mimetype_txt_en,DS12.label_txt_en,DS12.filesize_tl,DS12.checksum_txt_en,DS12.sourceurl,DS13.mimetype_txt_en,DS13.label_txt_en,DS13.filesize_tl,DS13.checksum_txt_en,DS13.sourceurl,DS14.mimetype_txt_en,DS14.label_txt_en,DS14.filesize_tl,DS14.checksum_txt_en,DS14.sourceurl,DS15.mimetype_txt_en,DS15.label_txt_en,DS15.filesize_tl,DS15.checksum_txt_en,DS15.sourceurl,DS16.mimetype_txt_en,DS16.label_txt_en,DS16.filesize_tl,DS16.checksum_txt_en,DS16.sourceurl,DS17.mimetype_txt_en,DS17.label_txt_en,DS17.filesize_tl,DS17.checksum_txt_en,DS17.sourceurl,DS18.mimetype_txt_en,DS18.label_txt_en,DS18.filesize_tl,DS18.checksum_txt_en,DS18.sourceurl,DS6.mimetype_txt_en,DS6.label_txt_en,DS6.filesize_tl,DS6.checksum_txt_en,DS6.sourceurl,DS7.mimetype_txt_en,DS7.label_txt_en,DS7.filesize_tl,DS7.checksum_txt_en,DS7.sourceurl,DS8.mimetype_txt_en,DS8.label_txt_en,DS8.filesize_tl,DS8.checksum_txt_en,DS8.sourceurl,DS9.mimetype_txt_en,DS9.label_txt_en,DS9.filesize_tl,DS9.checksum_txt_en,DS9.sourceurl,DS_MS_NON_EXCEL.sourceurl,rdf.isSpotlightChild,rdf.isSupersededBy,mods.sm_isbn,mods.sm_issn,mods.physical_description,mods.sm_copyright_date,mods.sm_publisher,rdf.isGRFeaturedChild,rdf.isFeatured,rdf.featuredType,rdf.inSpotlight,rdf.featuredUrl,rdf.isGRFeatured,dc.rights,rdf.featuredPosition,rdf.featuredPositionTemp,DS19.mimetype_txt_en,DS19.label_txt_en,DS19.filesize_tl,DS19.checksum_txt_en,DS19.sourceurl,DS20.mimetype_txt_en,DS20.label_txt_en,DS20.filesize_tl,DS20.checksum_txt_en,DS20.sourceurl,DS21.mimetype_txt_en,DS21.label_txt_en,DS21.filesize_tl,DS21.checksum_txt_en,DS21.sourceurl,DS22.mimetype_txt_en,DS22.label_txt_en,DS22.filesize_tl,DS22.checksum_txt_en,DS22.sourceurl,DS23.mimetype_txt_en,DS23.label_txt_en,DS23.filesize_tl,DS23.checksum_txt_en,DS23.sourceurl,DS24.mimetype_txt_en,DS24.label_txt_en,DS24.filesize_tl,DS24.checksum_txt_en,DS24.sourceurl,DS25.mimetype_txt_en,DS25.label_txt_en,DS25.filesize_tl,DS25.checksum_txt_en,DS25.sourceurl,DS26.mimetype_txt_en,DS26.label_txt_en,DS26.filesize_tl,DS26.checksum_txt_en,DS26.sourceurl,DS27.mimetype_txt_en,DS27.label_txt_en,DS27.filesize_tl,DS27.checksum_txt_en,DS27.sourceurl,DS28.mimetype_txt_en,DS28.label_txt_en,DS28.filesize_tl,DS28.checksum_txt_en,DS28.sourceurl,DS29.mimetype_txt_en,DS29.label_txt_en,DS29.filesize_tl,DS29.checksum_txt_en,DS29.sourceurl,DS30.mimetype_txt_en,DS30.label_txt_en,DS30.filesize_tl,DS30.checksum_txt_en,DS30.sourceurl,DS31.mimetype_txt_en,DS31.label_txt_en,DS31.filesize_tl,DS31.checksum_txt_en,DS31.sourceurl,DS32.mimetype_txt_en,DS32.label_txt_en,DS32.filesize_tl,DS32.checksum_txt_en,DS32.sourceurl,DS33.mimetype_txt_en,DS33.label_txt_en,DS33.filesize_tl,DS33.checksum_txt_en,DS33.sourceurl,DS34.mimetype_txt_en,DS34.label_txt_en,DS34.filesize_tl,DS34.checksum_txt_en,DS34.sourceurl,rdf.quickLinkUrl,rdf.isQuickLink,rdf.underSection,DS_EXCEL.sourceurl,mods.embargo_date,rdf.hasDataset,rdf.hasPublication,mods.ss_keyvalue,mods.sm_researchhub_id,dc.date,dc.source,dc.identifier.uri,dc.contributor.author,dc.contributor.collaborator,dc.coverage.spatial,dc.contributor.creator,dc.relation.isPartOf,dc.description.abstract,dc.rights.accessRights,dc.relation.isVersionOf,dc.contributor.consultant,dc.description.tableOfContents,dc.title.alternative,DS1.checksumsha256_txt_en,rdf.hasMultipleLanguage,DS2.checksumsha256_txt_en,DS3.checksumsha256_txt_en,DS4.checksumsha256_txt_en,DS5.checksumsha256_txt_en,DS6.checksumsha256_txt_en,DS7.checksumsha256_txt_en,mods.ss_hasQLOrder,DS_MS_NON_EXCEL.checksumsha256_txt_en,dc.relation.isReferencedBy,DS10.checksumsha256_txt_en,DS11.checksumsha256_txt_en,DS12.checksumsha256_txt_en,DS13.checksumsha256_txt_en,DS14.checksumsha256_txt_en,DS15.checksumsha256_txt_en,DS16.checksumsha256_txt_en,DS17.checksumsha256_txt_en,DS18.checksumsha256_txt_en,DS8.checksumsha256_txt_en,DS9.checksumsha256_txt_en
dot:65013,,,This manual contains Civil Air Manual Part 42: Supplement No. 8 - Revision To Civil Aeronautics Manual 42 Dated August 1956,Active,CAM 42: Supplement No. 8 - Revision To Civil Aeronautics Manual 42 Dated August 1956,English,"Manuals,Civil aviation,Standards",2022-12-19T18:52:58.418Z,Civil Aeronautics Manuals (CAM),English,CAM 42: Supplement No. 8 - Revision To Civil Aeronautics Manual 42 Dated August 1956,CAM 42: Supplement No. 8 - Revision To Civil Aeronautics Manual 42 Dated August 1956,"Manuals,Civil aviation,Standards",United States. Civil Aeronautics Board,true,"1958-11-15; \,",This manual contains Civil Air Manual Part 42: Supplement No. 8 - Revision To Civil Aeronautics Manual 42 Dated August 1956,1958-11-15,PDF,,,United States,,2022-11-30T17:20:16.237Z,,Manual,CAM 42,United States. Civil Aeronautics Board,application/pdf,CAM073.PDF,182058,urn:sha256:b3bae4b6c71b8c7d738809466dc33d5b60e560400ce997e7c5db6a3a0eb45fc4,1958,,dot:64918,"https://doi.org/10.21949/1511482,https://rosap.ntl.bts.gov/view/dot/65013",,,,https://doi.org/10.21949/1511482,1452,,,,,,United States. Civil Aeronautics Board,PDF,Manual,United States. Civil Aeronautics Board,United States,https://ntlrepository.blob.core.windows.net/lib/88000/88600/88625/CAM073.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:65050,,,This manual contains Civil Air Manual Part 49: Transportation Of Explosives And Other Dangerous Articles,Active,CAM 49: Transportation Of Explosives And Other Dangerous Articles [1956],English,"Manuals,Civil aviation,Hazardous materials,Flammable materials",2022-12-19T18:53:16.839Z,Civil Aeronautics Manuals (CAM),English,CAM 49: Transportation Of Explosives And Other Dangerous Articles [1956],CAM 49: Transportation Of Explosives And Other Dangerous Articles,"Manuals,Civil aviation,Hazardous materials,Flammable materials",United States. Civil Aeronautics Board,true,"1956-12-15; \,",This manual contains Civil Air Manual Part 49: Transportation Of Explosives And Other Dangerous Articles,1956-12-15,PDF,,,United States,,2022-11-30T17:21:12.610Z,,Manual,CAM 49,United States. Civil Aeronautics Board,application/pdf,CAM111.PDF,999618,urn:sha256:4946c39927d8381bf18e9ce7a55f1d768ae186c241cb7876ec331c35beea1b85,1956,,dot:64918,"https://doi.org/10.21949/1511574,https://rosap.ntl.bts.gov/view/dot/65050",,,,https://doi.org/10.21949/1511574,1452,,,,,,United States. Civil Aeronautics Board,PDF,Manual,United States. Civil Aeronautics Board,United States,https://ntlrepository.blob.core.windows.net/lib/88000/88600/88662/CAM111.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:65179,,,This manual contains Civil Air Manual Part 24: Advanced Copy of Regulatory Docket No. 960; Amendment 24-4 - Time Limit For Completion Of Mechanic Examination,Active,CAM 24: Advanced Copy of Regulatory Docket No. 960; Amendment 24-4 - Time Limit For Completion Of Mechanic Examination,English,"Manuals,Civil aviation,Mechanics",2022-12-19T18:54:21.041Z,Civil Aeronautics Manuals (CAM),English,CAM 24: Advanced Copy of Regulatory Docket No. 960; Amendment 24-4 - Time Limit For Completion Of Mechanic Examination,"CAM 24: Advanced Copy of Regulatory Docket No. 960,Amendment 24-4 - Time Limit For Completion Of Mechanic Examination","Manuals,Civil aviation,Mechanics",United States. Civil Aeronautics Board,true,"1962-04-20; \,",This manual contains Civil Air Manual Part 24: Advanced Copy of Regulatory Docket No. 960; Amendment 24-4 - Time Limit For Completion Of Mechanic Examination,1962-04-20,PDF,,,United States,,2022-11-30T17:24:16.982Z,,Manual,CAM 24,United States. Civil Aeronautics Board,application/pdf,CAM246.PDF,135419,urn:sha256:66376d5e047ac56e4c55743d247890ca4b45499029f80e273083d02624f805c5,1962,,dot:64918,"https://doi.org/10.21949/1511394,https://rosap.ntl.bts.gov/view/dot/65179",,,,https://doi.org/10.21949/1511394,1452,,,,,,United States. Civil Aeronautics Board,PDF,Manual,United States. Civil Aeronautics Board,United States,https://ntlrepository.blob.core.windows.net/lib/88000/88700/88791/CAM246.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:65008,,,"This manual contains Civil Air Manual Part 42: Supplement No. 3 \, CAM 42 Dated February 15\, 1960. Revisions To CAM 42",Active,"CAM 42: Supplement No. 3 \, CAM 42 Dated February 15\, 1960. Revisions To CAM 42",English,"Manuals,Civil aviation,Standards",2022-12-19T18:52:55.934Z,Civil Aeronautics Manuals (CAM),English,"CAM 42: Supplement No. 3 , CAM 42 Dated February 15, 1960. Revisions To CAM 42","CAM 42: Supplement No. 3 \, CAM 42 Dated February 15\, 1960. Revisions To CAM 42","Manuals,Civil aviation,Standards",United States. Civil Aeronautics Board,true,"1961-07-01; \,","This manual contains Civil Air Manual Part 42: Supplement No. 3 \, CAM 42 Dated February 15\, 1960. Revisions To CAM 42",1961-07-01,PDF,,,United States,,2022-11-30T17:20:05.752Z,,Manual,CAM 42,United States. Civil Aeronautics Board,application/pdf,CAM068.PDF,996375,urn:sha256:28b24e119d7ebf896211cf4831a38ce2d0e5838995784fe2f8b159b84b0cf89a,1961,,dot:64918,"https://doi.org/10.21949/1511477,https://rosap.ntl.bts.gov/view/dot/65008",,,,https://doi.org/10.21949/1511477,1452,,,,,,United States. Civil Aeronautics Board,PDF,Manual,United States. Civil Aeronautics Board,United States,https://ntlrepository.blob.core.windows.net/lib/88000/88600/88620/CAM068.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:65246,,,"This manual contains Civil Air Manual Part 40: Supplement No. 2 - Revisions To CAM 40 Dated April 1\, 1956",Active,"CAM 40: Supplement No. 2 - Revisions To CAM 40 Dated April 1\, 1956",English,"Manuals,Civil aviation,Standards",2022-12-19T18:54:54.478Z,Civil Aeronautics Manuals (CAM),English,"CAM 40: Supplement No. 2 - Revisions To CAM 40 Dated April 1, 1956","CAM 40: Supplement No. 2 - Revisions To CAM 40 Dated April 1\, 1956","Manuals,Civil aviation,Standards",United States. Civil Aeronautics Board,true,"1957-06-01; \,","This manual contains Civil Air Manual Part 40: Supplement No. 2 - Revisions To CAM 40 Dated April 1\, 1956",1957-06-01,PDF,,,United States,,2022-11-30T17:25:57.011Z,,Manual,CAM 40,United States. Civil Aeronautics Board,application/pdf,CAM313.PDF,221736,urn:sha256:6540392be2adadb2c02bcf0899f73cb5265eb713ba6e7f0953071fb91768a5b5,1957,,dot:64918,"https://doi.org/10.21949/1511441,https://rosap.ntl.bts.gov/view/dot/65246",,,,https://doi.org/10.21949/1511441,1452,,,,,,United States. Civil Aeronautics Board,PDF,Manual,United States. Civil Aeronautics Board,United States,https://ntlrepository.blob.core.windows.net/lib/88000/88800/88858/CAM313.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:65199,,,This manual contains Civil Air Manual Part 21: Supplement No. 1 - CAM 21 Dated August 1959. Aircraft Type Rating,Active,CAM 21: Supplement No. 1 - CAM 21 Dated August 1959. Aircraft Type Rating,English,"Manuals,Civil aviation,Aircraft",2022-12-19T18:54:31.010Z,Civil Aeronautics Manuals (CAM),English,CAM 21: Supplement No. 1 - CAM 21 Dated August 1959. Aircraft Type Rating,CAM 21: Supplement No. 1 - CAM 21 Dated August 1959. Aircraft Type Rating,"Manuals,Civil aviation,Aircraft",United States. Civil Aeronautics Board,true,"1961-01-15; \,",This manual contains Civil Air Manual Part 21: Supplement No. 1 - CAM 21 Dated August 1959. Aircraft Type Rating,1961-01-15,PDF,,,United States,,2022-11-30T17:24:43.263Z,,Manual,CAM 21,United States. Civil Aeronautics Board,application/pdf,CAM266.PDF,108793,urn:sha256:eff6ca1bfbfbed7de89b3a7ebee90d54994a4403d21c58c518872378bc5354dd,1961,,dot:64918,"https://doi.org/10.21949/1511377,https://rosap.ntl.bts.gov/view/dot/65199",,,,https://doi.org/10.21949/1511377,1452,,,,,,United States. Civil Aeronautics Board,PDF,Manual,United States. Civil Aeronautics Board,United States,https://ntlrepository.blob.core.windows.net/lib/88000/88800/88811/CAM266.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:65172,,,This manual contains Civil Air Manual Part 27: Supplement No. 4 - Revisions To CAM 27,Active,CAM 27: Supplement No. 4 - Revisions To CAM 27,English,"Manuals,Civil aviation,Standards",2022-12-19T18:54:17.557Z,Civil Aeronautics Manuals (CAM),English,CAM 27: Supplement No. 4 - Revisions To CAM 27,CAM 27: Supplement No. 4 - Revisions To CAM 27,"Manuals,Civil aviation,Standards",United States. Civil Aeronautics Board,true,"1957-08-01; \,",This manual contains Civil Air Manual Part 27: Supplement No. 4 - Revisions To CAM 27,1957-08-01,PDF,,,United States,,2022-11-30T17:24:08.170Z,,Manual,CAM 27,United States. Civil Aeronautics Board,application/pdf,CAM239.PDF,33988,urn:sha256:e4d7ff0fe09436142dcffc38d4bfe154013022fedfb9989b5297ed457c05e947,1957,,dot:64918,"https://doi.org/10.21949/1511415,https://rosap.ntl.bts.gov/view/dot/65172",,,,https://doi.org/10.21949/1511415,1452,,,,,,United States. Civil Aeronautics Board,PDF,Manual,United States. Civil Aeronautics Board,United States,https://ntlrepository.blob.core.windows.net/lib/88000/88700/88784/CAM239.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:65427,,,This manual contains Civil Air Manual Part 60: CAR Draft Release No. 61-10 - Affects Part 60. Coded Radar Beacon Transponder Requirement In Positive Air Traffic Control Areas And Jet Advisory Areas; Amendment Of SR-424C And SR-444,Active,CAM 60: CAR Draft Release No. 61-10 - Affects Part 60. Coded Radar Beacon Transponder Requirement In Positive Air Traffic Control Areas And Jet Advisory Areas; Amendment Of SR-424C And SR-444,English,"Manuals,Civil aviation,Air traffic control",2022-12-19T18:52:27.819Z,Civil Aeronautics Manuals (CAM),English,CAM 60: CAR Draft Release No. 61-10 - Affects Part 60. Coded Radar Beacon Transponder Requirement In Positive Air Traffic Control Areas And Jet Advisory Areas; Amendment Of SR-424C And SR-444,"CAM 60: CAR Draft Release No. 61-10 - Affects Part 60. Coded Radar Beacon Transponder Requirement In Positive Air Traffic Control Areas And Jet Advisory Areas,Amendment Of SR-424C And SR-444","Manuals,Civil aviation,Air traffic control",United States. Civil Aeronautics Board,true,"1961-05-15; \,",This manual contains Civil Air Manual Part 60: CAR Draft Release No. 61-10 - Affects Part 60. Coded Radar Beacon Transponder Requirement In Positive Air Traffic Control Areas And Jet Advisory Areas; Amendment Of SR-424C And SR-444,1961-05-15,PDF,,,United States,,2022-11-30T17:30:46.287Z,,Manual,CAM 60,United States. Civil Aeronautics Board,application/pdf,CAM021.PDF,145261,urn:sha256:18e072668e3df7a19c7ef262ccb895be1295129542907059506bbf9f28080093,1961,,dot:64918,"https://doi.org/10.21949/1511624,https://rosap.ntl.bts.gov/view/dot/65427",,,,https://doi.org/10.21949/1511624,1452,,,,,,United States. Civil Aeronautics Board,PDF,Manual,United States. Civil Aeronautics Board,United States,https://ntlrepository.blob.core.windows.net/lib/88000/88500/88574/CAM021.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:65373,,,This manual contains Civil Air Manual Part 06: Rotorcraft Airworthiness; Normal Category,Active,"CAM 06: Rotorcraft Airworthiness; Normal Category [1959\, October]",English,"Manuals,Civil aviation,Aircraft,Airworthiness,Aviation safety",2022-12-19T18:55:57.368Z,Civil Aeronautics Manuals (CAM),English,"CAM 06: Rotorcraft Airworthiness; Normal Category [1959, October]","CAM 06: Rotorcraft Airworthiness,Normal Category","Manuals,Civil aviation,Aircraft,Airworthiness,Aviation safety",United States. Civil Aeronautics Board,true,"1959-10-01; \,",This manual contains Civil Air Manual Part 06: Rotorcraft Airworthiness; Normal Category,1959-10-01,PDF,,,United States,,2022-11-30T17:29:09.992Z,,Manual,CAM 06,United States. Civil Aeronautics Board,application/pdf,CAM441.PDF,4963509,urn:sha256:965234aff0a27cd3746c41714c245213dca97edfe1d781b9ec76b99961ba4302,1959,,dot:64918,"https://doi.org/10.21949/1511285,https://rosap.ntl.bts.gov/view/dot/65373",,,,https://doi.org/10.21949/1511285,1452,,,,,,United States. Civil Aeronautics Board,PDF,Manual,United States. Civil Aeronautics Board,United States,https://ntlrepository.blob.core.windows.net/lib/88000/88900/88986/CAM441.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot:65230,,,This manual contains Civil Air Manual Part 41: Supplement No. 1 - Revision To CAM 41 Dated April 1954,Active,CAM 41: Supplement No. 1 - Revision To CAM 41 Dated April 1954,English,"Manuals,Civil aviation,Standards",2022-12-19T18:54:46.416Z,Civil Aeronautics Manuals (CAM),English,CAM 41: Supplement No. 1 - Revision To CAM 41 Dated April 1954,CAM 41: Supplement No. 1 - Revision To CAM 41 Dated April 1954,"Manuals,Civil aviation,Standards",United States. Civil Aeronautics Board,true,"1954-11-15; \,",This manual contains Civil Air Manual Part 41: Supplement No. 1 - Revision To CAM 41 Dated April 1954,1954-11-15,PDF,,,United States,,2022-11-30T17:25:27.543Z,,Manual,CAM 41,United States. Civil Aeronautics Board,application/pdf,CAM297.PDF,2100308,urn:sha256:9cc71e0f9593b23221973a29299f5b5e321ef54faeb53871c7873accd6e849b1,1954,,dot:64918,"https://doi.org/10.21949/1511466,https://rosap.ntl.bts.gov/view/dot/65230",,,,https://doi.org/10.21949/1511466,1452,,,,,,United States. Civil Aeronautics Board,PDF,Manual,United States. Civil Aeronautics Board,United States,https://ntlrepository.blob.core.windows.net/lib/88000/88800/88842/CAM297.PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
